	mock1_1	mock2_1	salt_1h_1	salt_2h_1	heat_1h_1	heat_2h_1	mock1_2	mock2_2	salt_1h_2	salt_2h_2	heat_1h_2	heat_2h_2
ENSG00000162729	0.6233	0.9029	0.4145	0.3469	0.5828	0.1832	1.37	1.1305	0.3823	0.3103	0.3763	0.2013
ENSG00000018625	0	0	0	0	0	0.0044	0	0	0	0	0	0
ENSG00000132681	0	0	0	0	0.0044	0	0	0.01	0	0	0	0
ENSG00000143318	0.0291	0.0174	0	0.0173	0.0371	0.0123	0.0334	0.0563	0.0219	0.0284	0.0973	0.0144
ENSG00000162734	37.6205	35.2817	27.1084	31.5939	49.2248	39.1589	36.5958	37.1362	22.0234	28.8334	56.5291	47.1304
ENSG00000132716	2.3555	2.4339	2.7695	2.695	1.3602	0.6809	2.7169	2.8308	2.6455	2.6752	1.56	0.752
ENSG00000258465	0	0.0068	0.0292	0.0134	0.0289	0.0864	0	0	0.0511	0.0553	0.0216	0.1794
ENSG00000162735	2.6885	2.6755	1.4533	1.7326	1.7418	2.7175	2.4442	2.7029	1.449	1.8037	1.7848	3.1221
ENSG00000122218	17.6397	19.1453	14.2908	19.4405	20.5753	19.3686	18.5028	18.1353	12.2106	16.3301	20.2024	20.8121
ENSG00000162736	6.0343	6.4438	3.1928	3.3601	7.0009	7.4742	7.03	6.8619	2.6625	2.8413	8.0307	9.0117
ENSG00000171786	0.089	0.0455	0.2617	0.1659	1.4026	1.961	0.0291	0.0246	0.0955	0.1241	1.5654	3.1825
ENSG00000162738	0.1709	0.1383	0.0837	0.1375	0.1191	0.2017	0.1818	0.2181	0.0459	0.1072	0.1281	0.157
ENSG00000162739	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000066294	0	0	0	0	0	0.003	0	0	0	0	0	0
ENSG00000117090	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117091	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000026751	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122224	0	0	0	0	0	0	0	0	0.0107	0	0	0.0035
ENSG00000122223	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179914	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232188	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158764	0	0	0	0	0	0	0	0	0	0.0194	0	0
ENSG00000158769	0.0257	0.0077	0.0055	0.0229	0.0273	0.0491	0.0147	0.0249	0.0097	0.0063	0.0184	0.0382
ENSG00000270149	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215845	0.1077	0.1285	0.0693	0.0958	0.16	0.4108	0.1234	0.2081	0.1214	0.0526	0.1285	0.2132
ENSG00000158773	3.2926	3.6947	1.4953	1.4227	2.2018	1.7614	2.7494	4.0969	1.0062	1.0211	2.1037	1.7252
ENSG00000186517	0	0.0038	0.0055	0	0.1584	0.6926	0.0147	0.0062	0.0097	0.0502	0.0983	0.6748
ENSG00000268154	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143217	0.0093	0.0111	0.008	0.033	0.5044	1.1175	0	0	0.0419	0.0634	0.4343	1.3506
ENSG00000162755	0.0189	0.1356	0.065	0	0.0643	0.0482	0.0868	0.1098	0.0569	0	0.0181	0.0375
