"GFP-1" "GFP-2" "GFP-3" "HS-GFP-1" "HS-GFP-2" "HS-GFP-3" "WT-1" "WT-2" "WT-3" "HS-WT-1" "HS-WT-2" "HS-WT-3"
"ENSG00000084628" 37 45 59 49 27 50 44 42 51 34 18 23
"ENSG00000060688" 906 1186 1424 1886 1387 2401 803 819 912 542 429 369
"ENSG00000236335" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000171612" 615 726 926 1085 966 1624 674 721 699 830 677 628
"ENSG00000241169" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000227001" 11 14 22 37 19 38 11 9 14 5 5 3
"ENSG00000270927" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000162458" 209 268 343 171 105 210 381 415 450 350 276 235
"ENSG00000188910" 181 275 321 116 94 139 247 253 239 2456 2004 1808
"ENSG00000230523" 1 0 0 2 0 0 0 0 0 3 1 2
"ENSG00000186056" 25 20 26 32 20 30 25 31 28 28 20 11
"ENSG00000116138" 417 492 581 340 256 451 551 570 613 221 221 140
"ENSG00000231207" 0 0 0 1 0 0 0 0 0 1 0 0
"ENSG00000142765" 1 2 2 4 1 3 2 1 3 2 5 1
"ENSG00000158161" 711 766 907 1772 1271 2292 798 811 856 1630 1523 1139
"ENSG00000270330" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000142684" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000234619" 0 0 0 0 0 1 0 1 0 0 0 0
"ENSG00000121769" 72 66 94 118 78 169 138 138 140 178 153 144
"ENSG00000157330" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000142627" 2169 3180 3777 3356 2563 4299 3020 3150 3573 6921 5751 4697
"ENSG00000284668" 0 1 2 1 4 9 1 0 2 1 2 0
"ENSG00000233234" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000142632" 348 509 568 190 164 269 421 473 484 198 159 123
"ENSG00000234593" 0 0 0 1 0 1 0 0 0 2 0 0
"ENSG00000162490" 2 0 0 0 0 1 0 0 3 1 2 1
"ENSG00000158292" 187 289 330 202 135 236 251 290 330 182 151 141
"ENSG00000270605" 66 96 104 79 49 97 77 86 91 41 25 21
"ENSG00000238199" 0 2 0 1 0 0 0 0 0 0 0 0
"ENSG00000142733" 186 294 356 270 215 375 250 285 310 124 109 106
"ENSG00000189337" 221 295 332 416 338 555 237 218 299 120 108 74
"ENSG00000270601" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000233268" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000232912" 0 0 1 2 0 0 0 0 1 0 0 0
"ENSG00000235084" 2 6 9 0 0 1 2 10 11 1 0 0
"ENSG00000235143" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000225478" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000225077" 29 42 42 18 8 28 38 40 67 31 33 19
"ENSG00000028137" 107 117 153 50 36 66 134 156 172 22 23 20
"ENSG00000223944" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000238249" 0 0 0 0 0 0 0 0 0 1 1 0
"ENSG00000187952" 1 0 1 5 1 2 1 2 2 0 0 0
"ENSG00000237938" 9 6 11 9 8 7 14 9 15 28 30 12
"ENSG00000227409" 0 0 0 1 0 1 0 0 3 1 1 4
"ENSG00000204464" 0 0 0 0 0 0 0 0 2 2 0 0
"ENSG00000233372" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000162460" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000283259" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000142687" 736 934 1102 688 551 835 1146 1220 1342 881 841 566
"ENSG00000284543" 2 6 4 4 0 5 6 10 12 9 17 6
"ENSG00000226166" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000130939" 2142 2522 3041 2195 1506 2722 2671 2679 3016 1682 1443 1073
"ENSG00000236216" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000175147" 18 23 29 15 11 15 23 21 20 51 41 37
"ENSG00000236266" 4 5 3 35 26 46 7 7 8 20 11 14
"ENSG00000127472" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000231103" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000060656" 1341 1880 2147 1709 1114 2025 2146 2266 2577 1197 1019 846
"ENSG00000163867" 117 153 171 84 70 139 179 177 184 94 59 49
"ENSG00000232768" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000230214" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000189280" 84 108 147 47 26 58 110 110 147 40 37 44
"ENSG00000134698" 214 207 312 68 59 97 349 339 362 304 297 242
"ENSG00000134690" 736 925 1176 1289 927 1687 817 827 964 663 579 474
"ENSG00000272420" 0 0 1 0 2 2 1 0 0 3 1 0
"ENSG00000224333" 0 0 0 0 0 0 0 0 1 0 1 0
"ENSG00000132881" 59 82 116 38 20 57 95 102 111 40 26 20
"ENSG00000273274" 0 0 0 1 0 2 1 0 0 5 10 4
"ENSG00000224321" 3 6 6 2 2 8 15 14 17 11 12 3
"ENSG00000116251" 2549 2848 3624 4231 3825 7028 3050 3149 3494 4663 4031 3478
"ENSG00000272510" 0 0 0 0 1 0 0 0 1 2 0 0
"ENSG00000158286" 674 872 1117 1549 1014 1812 962 1017 1133 351 298 282
"ENSG00000236648" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000232273" 1 0 0 0 0 2 1 0 1 19 18 14
"ENSG00000009709" 0 0 0 0 0 0 0 0 0 1 0 0
"ENSG00000043514" 370 396 539 655 456 872 446 448 499 352 344 237
"ENSG00000186543" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000287396" 1 0 0 1 2 2 1 0 0 2 3 2
"ENSG00000162510" 2 3 11 2 2 1 5 5 7 45 34 22
"ENSG00000179002" 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000223589" 0 0 0 0 1 1 0 0 0 0 0 0
